Id,Names,Nationality/State,Position held,Occupation,Year born,Year deceased,Gender,Other memberships,URL References
289,"Chaloner, John",Pennsylvania,Assistant Commissary of Purchases,Merchant,1748,1793,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50252.xml
290,"Clarke, Jonathan",New York,Senior Commissary of the Convention Army; Lieutenante Colonel,Military,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50456.xml
291,"Cobb, David",Massachusetts,Lieutenant Colonel; State Representative; Aide-de-Camp; Militia General,Surgeon; Politician; Military; Militia,1748,1830,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50569.xml
292,Committee of the Continental Congress,United States,,,,,O,,
293,"Conway, Thomas",France,General; Inspector General,Military,1735,1795,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50720.xml
294,"Conyngham, Gustavus",Pennsylvania,Naval Captain,Military; Privateer,1744,1819,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50723.xml
295,"Cushing, Thomas",Massachusetts,Delegate Continental Congress; Lieutenant Governor; State Representative,Statesman; Politician,1725,1788,M,American Academy of Arts and Sciences,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51018.xml
296,"d’Azyr, Félix Vicq",France,,Physician,1748,1794,M,,https://link.springer.com/article/10.1007/s00381-011-1424-y
297,"Dalton, Tristram",Massachusetts,State Representative,Politician; Merchant,1738,1817,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51092.xml
298,"Deane, Simeon",Connecticut,,Diplomat; Merchant,1750,1788,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51254.xml
299,"Delap, Jean-Hans",France,Agent in France,Agent; Merchant,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=138357.xml
300,"Delap, Samuel",France,Agent in France,Agent; Merchant,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51299.xml
303,"Duer, William",New York,Delegate Continental Congress; State Representative; Board of War,Politician; Merchant; Military,1747,1799,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51564.xml
304,Eastern Navy Board,United States,,,,,O,,
305,"Ellery, William",Rhode Island,Delegate Continental Congress,Attorney at Law; Politician,1727,1820,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51740.xml
306,"Erskine, Robert",New Jersey,Geographer and Surveyor of the Roads,Geographer; Surveyor; Manufacturer,1735,1780,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51817.xml
307,"Falconer, Nathaniel",Pennsylvania,Commissioner of Navy; Warden of the port of Philadelphia,Military; Port Warden,1729,1806,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51913.xml
308,Farmers General,France,,,,,O,,https://www.britannica.com/place/Paris/Climate#ref364846
309,"Fitzgerald, John",Virginia,Aide-de-camp; Captain,"Merchant, Military",1700,1798,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52059.xml
310,"Fitzherbert, Alleyne",Great Britain,"Minister at Brussels; Plenipotentiary to Negotiate a Peace with Spain, France and Dutch Republic.",Diplomat,1753,1839,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52062.xml
311,"FitzPatrick, Richard",Great Britain,Member of Parliament; Captain; Commissioner for Prisoner Exchange,,,,M,,
312,"Fleury, François-Louis Teissèdre de",France,Subinspector General; Lieutenant Colonel,Military,1749,1799,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52105.xml
313,"Flint, Royal",New York,,Merchant,1754,1797,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=250979.xml
314,"Franks, David Salisbury",Pennsylvania,Major; Aide-de-camp,Diplomat; Courier; Military,1742,1793,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52232.xml
315,Gentlemen at Nantes,,,,,,,,https://www.founders.archives.gov/?q=Gentlemen%20at%20Nantes%20Author%3A%22Gentlemen%20at%20Nantes%22&s=1111311111&r=1&sr=
316,"Gérard, Marie-Nicole Grossart de Virly",France,,,,,V,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=252055.xml
317,"Gibson, George",Pennsylvania,Colonel; Prison Ward,Merchant; Military; Prison Ward,1747,1791,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52468.xml
318,"Gibson, John",Virginia,Militia Colonel,"Militia, Military; Merchant",1740,1822,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52471.xml
319,"Gilbank, John",South Carolina,Lieutenant,Military,,1780,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52473.xml
320,"Gordon, Cosmo",Great Britain,Commissioner for Prisoner Exchange,Diplomat,1736,1800,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=305419.xml
321,"Gourlade, Bérard frères & Monplaisir",France,,,,,O,,https://founders.archives.gov/?q=Author%3A%22Gourlade%2C%20B%C3%A9rard%20fr%C3%A8res%20%26%20Monplaisir%22&s=1111311111&r=1
322,"Griffin, Cyrus",Virginia,State Representative; Delegate Continental Congress,Attorney at Law; Politician,1748,1810,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52815.xml
323,"Gunnison, Benjamin",New Hampshire,,Shipmaster,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=252944.xml
324,"Hamilton, James",Great Britain,General,Military,1728,1803,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52995.xml
325,"Henley, David",Massachusetts,Colonel ,Merchant; Military,1748,1823,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53324.xml
326,"Hitchcock, Daniel",Rhode Island,Colonel ,Attorney at Law; Military,1739,1777,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53430.xml
327,"Hodge, William",Pennsylvania,Agent in France,Agent; Merchant; Shipowner,1750,1780,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=254230.xml
328,"Holtzendorff, Louis-Casimir, baron de",Prussia,Lieutenant Colonel,Military,1728,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53534.xml
329,"Hopkinson, Francis",New Jersey,Navy Board; Delegate Continental Congress; Marine Committee; Continental Treasurer of Loans; Judge of the Admiralty Court,Judge; Attorney at Law; Politician,1737,1791,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53575.xml
330,"Horneca, Fizeaux & Co.",Dutch Republic,,,,,O,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=250584.xml
331,"Hyde, West",Great Britain,Colonel,Military,1734,1797,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=255470.xml
332,"Jay, James",New York,,Physician; Chemist,1732,1815,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53959.xml
333,"Jenifer, Daniel of St. Thomas",Maryland,Delegate Continental Congress; State Representative; Major,Military; Politician,1723,1790,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53978.xml
334,"Johnson, Henry",,Naval Captain,Military,,,M,,Either https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=257224.xml or https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=257225.xml
335,"Johonnot, Samuel Cooper",Massachusetts,,Student,1768,1806,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54061.xml
336,"Langdon, John",New Hampshire,Delegate Continental Congress; Colonel; Continental Agent,Politician; Merchant; Military; Agent,1741,1819,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54407.xml
337,"Laurance, John",New York,Judge Advocate General; Colonel; Paymaster; State Representative,Attorney at Law; Military; Politician,1750,1810,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54463.xml
338,"Laurens, Martha",South Carolina,,,1757,1781,V,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=258916.xml
339,"Lewis, Andrew",Virginia,General; State Representative; Indian Commissioner,Military; Politician,1720,1781,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54676.xml
340,"Livingston, Musco",Virginia,Naval Lieutenant,Military,,1798,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=142060.xml
341,"Lloyd, John",,Agent in France,Agent,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=67962.xml
342,"Lloyd, Richard Bennett",Maryland,Captain,Military,1750,1787,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54874.xml
343,"Loring, Joshua",Great Britain,Deputy Surveyor General; Commissary General of Prisoners,Surveyor; Military,1744,1789,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54922.xml
344,"Lowell, John",Massachusetts,Delegate Continental Congress,Attorney at Law; Militia; Military; Judge; Politician,1743,1802,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54947.xml
345,"Mason, Jonathan Jr.",Massachusetts,,Attorney at Law,1756,1831,M,,
346,Massachusetts Board of War,Massachusetts,,,,,O,,
347,Massachusetts Provincial Congress,Massachusetts,,,,,O,,
348,"McNeill, Daniel",Massachusetts,Naval Captain,Military; Privateer,1748,1833,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55539.xml
349,"Merckle, John Philip",Dutch Republic,,Agent,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=261248.xml
350,"Montaudoüin de La Touche, Jean-Gabriel",France,,Writer; Agent,1722,1780,M,,https://viaf.org/viaf/12440555/
351,"Morgan, George",Pennsylvania,Colonel,Merchant; Land Speculator; Military; Indian agent,1743,1810,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55886.xml
352,"Morris, Thomas",Pennsylvania,Agent in France,Agent; Merchant,1745,1778,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55968.xml
353,New York Provincial Congress,New York,,,,,O,,
354,"Nicholson, Samuel",Maryland,Naval Captain,Military,1743,1811,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56229.xml
355,"Norton, Chapel",Great Britain,Commissioner for Prisoner Exchange,Military,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=304096.xml
356,"O’Hara, Charles",Great Britain,Commissioner for Prisoner Exchange; General,Military,1740,1802,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56349.xml
357,"Oswald, Richard",Great Britain,Peace Commissioner,Agent; Diplomat; Merchant; Slave Trader,1735,1819,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56404.xml
358,"Page, John",Virginia,Lieutenant Governor; State Representative,Statesman; Politician; Planter,1743,1808,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56441.xml
359,"Paine, Thomas",Pennsylvania,Secretary of the Committee on Foreign Affairs; Aide-de-Camp; Agent in France; Agent in the Dutch Republic,Pamphleteer; Secretary; Military; Agent; Writer,1737,1809,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56459.xml
360,"Penet, Pierre",France,,Merchant; Land Speculator,,1812,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56691.xml
361,"Penn, John",North Carolina,Delegate Continental Congress; State Board of War,Military; Politician; Attorney at Law,1740,1788,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56697.xml
362,"Prentis, Joseph",Virginia,State Representative,Politician,1754,1809,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57035.xml
363,"Price, Richard",Great Britain,,Clergy; Writer,1723,1791,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57063.xml
364,"Pringle, John Julius",South Carolina,,Attorney at Law,1753,1843,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57075.xml
365,"Putnam, Rufus",Massachusetts,General; Chief Engineer of the Army,Engineer; Military; Farmer; Surveyor,1738,1824,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57116.xml
366,"Quincy, Josiah",Massachusetts,Militia Colonel,Military; Merchant,1710,1784,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57140.xml
367,"Read, Thomas",Pennsylvania,Naval Captain,Shipmaster; Privateer; Military; Militia,1740,1788,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57264.xml
368,"Ridley, Matthew",Maryland,Agent in Europe,Merchant; Agent,1746,1789,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57380.xml
369,"Riedesel, Friedrich Adolph (Adolf) von",Brunswick,Aide-de-Camp; General,Military,1738,1800,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57383.xml
372,"Rutledge, John",South Carolina,Delegate Continental Congress; State President/Governor,Attorney at Law; Politician; Statesman,1739,1800,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57700.xml
373,"Sargeant, William Hill",,,Privateer,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=269749.xml
374,"Sayre, Stephen",New Jersey,Agent in Russia; Agent in Russia,Agent; Diplomat,1736,1818,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57792.xml
375,"Schulenburg, Friedrich Wilhelm, baron von der",Prussia,Minister of Trade,Statesman,1742,1815,M,,https://www.founders.archives.gov/?q=Schulenburg%2C%20Friedrich%20Wilhelm%2C%20baron%20von%20der&s=1111311111&sa=&r=1&sr=
376,"Searle, James",Pennsylvania,Agent in France; Agent in the Dutch Republic; Delegate Continental Congress,Merchant; Agent; Politician,1730,1798,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57864.xml
377,"Simpson, Thomas",,Naval Lieutenant,Military,,1784,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=269954.xml & https://www.founders.archives.gov/?q=Author%3A%22Simpson%2C%20Thomas%22&s=1111311111&r=4&sr= 
379,"Spotswood, Alexander",Virginia,General,Military,1751,1818,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58371.xml
380,"Stephens, Humphrey",Great Britain,Commissioner for Prisoner Exchange; General,Military,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58474.xml
381,"Stewart, Charles",New Jersey,Militia Colonel; Commissary General of Issues; State Representative; Deputy Surveyor,Military; Militia; Politician; Surveyor,1729,1800,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58535.xml
382,"Strachey, Henry",Great Britain,Secretary to the British Commissioners,Secretary; Diplomat,1736,1810,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58632.xml
383,"Swift, Heman",Connecticut,Colonel,Military,1733,1814,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58728.xml
384,"Talbot, Silas",Rhode Island,Lieutenant Colonel; Naval Captain,Merchant; Shipmaster; Military; Privateer,1751,1813,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58761.xml
385,"Thomas, John",Massachusetts,General,Military,1724,1776,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58919.xml
386,"Thompson, Thomas",New Hampshire,Naval Captain,Military,,1809,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=274389.xml & https://www.waymarking.com/waymarks/WME6K4 
388,"Towles, Oliver",Virginia,Militia Captain; Lieutenant Colonel,Attorney at Law; Militia; Military; Landowner,1736,1825,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59084.xml
389,"Trescott, Lemuel",Massachusetts,Major,Military,1751,1826,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59117.xml
390,"Trumbull, John",Connecticut,Aide-de-Camp; Deputy Adjutant General,Military; Painter,1756,1843,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59149.xml
391,"Van Schaick, Goose",New York,Colonel,Military,1736,1789,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59337.xml
392,"Vaughan, Benjamin",Great Britain,,Merchant; Agent,1751,1835,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59371.xml
393,"Villefranche de Genton, Jean-Louis-Ambroise, chevalier de",France,Lieutenant Colonel,Surveyor; Military; Engineer; Cartographer,1747,1784,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59409.xml
394,"Waterhouse, Benjamin",Rhode Island,,Physician,1754,1846,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59704.xml
395,"Wharton, Joseph Jr.",Pennsylvania,,Merchant; Agent,1734,1816,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59880.xml
396,"Whipple, Abraham",Rhode Island,Naval Captain,Military; Privateer,1733,1819,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59902.xml
397,"White, Anthony Walton",New Jersey,Lieutenant Colonel,Military,1750,1803,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59918.xml
398,"Wickes, Lambert",Maryland,Naval Captain,Military,1735,1777,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=278173.xml & https://www.encyclopedia.com/history/encyclopedias-almanacs-transcripts-and-maps/wickes-lambert 
399,"Winthrop, John",Massachusetts,State Representative,Professor; Politician,1714,1779,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=60168.xml
400,"Witherspoon, John",New Jersey,University President; Delegate Continental Congress; Board of War; Committee of Secret Correspondence,Professor; Politician; Military; Clergy,1723,1794,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=60188.xml
401,"Yeates, Jasper",Pennsylvania,Indian Commissioner; State Represenative; Captain of Associators,Attorney at Law; Politician,1745,1817,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=60337.xml
402,"Young, John",,Agent in France; Naval Captain,Agent; Military,,,M,,https://www.founders.archives.gov/?q=%20Author%3A%22Young%2C%20John%22&s=1111311111&r=1&sr= & https://www.founders.archives.gov/?q=%20Recipient%3A%22Young%2C%20John%22&s=1111311111&r=1&sr= 
403,"Rocqùette, J.,Th. A. Elsevier, & P. Th. Rocqùette",Dutch Republic,,,,,O,,https://www.founders.archives.gov/?q=Author%3A%22Rocquette%2C%20Jacques%2C%20Elsevier%2C%20T.%20A.%2C%20%26%20Rocquette%2C%20Pieter%20Th.%22&s=1111311111&r=1&sr=
404,"Dubbeldemuts, F. & A.",Dutch Republic,,,,,O,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51537.xml & https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=61300.xml
405,"Ambler, Jacquelin",Virginia,State Treasurer,Treasurer; Merchant; Planter,1742,1798,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48451.xml
406,"Bradford, William",Rhode Island,State Representative; Delegate Continental Congress; Deputy Governor,Attorney at Law; Statesman; Politician,1729,1808,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=49478.xml
407,Pennsylvania Committee of Safety,Pennsylvania,,,,,O,,